Solutions for machine 1: [ { a: 87, b: 69, cost: 330 } ] 
Solutions for machine 116: [ { a: 7, b: 81, cost: 102 } ] 
Solutions for machine 119: [ { a: 9, b: 82, cost: 109 } ] 
Solutions for machine 121: [ { a: 33, b: 51, cost: 150 } ] 
Solutions for machine 122: [ { a: 38, b: 57, cost: 171 } ] 
Solutions for machine 124: [ { a: 83, b: 64, cost: 313 } ] 
Solutions for machine 125: [ { a: 71, b: 46, cost: 259 } ] 
Solutions for machine 126: [ { a: 19, b: 52, cost: 109 } ] 
Solutions for machine 127: [ { a: 89, b: 54, cost: 321 } ] 
Solutions for machine 128: [ { a: 88, b: 53, cost: 317 } ] 
Solutions for machine 131: [ { a: 73, b: 19, cost: 238 } ] 
Solutions for machine 135: [ { a: 95, b: 68, cost: 353 } ] 
Solutions for machine 136: [ { a: 62, b: 51, cost: 237 } ] 
Solutions for machine 138: [ { a: 51, b: 68, cost: 221 } ] 
Solutions for machine 140: [ { a: 69, b: 29, cost: 236 } ] 
Solutions for machine 142: [ { a: 87, b: 9, cost: 270 } ] 
Solutions for machine 143: [ { a: 64, b: 20, cost: 212 } ] 
Solutions for machine 145: [ { a: 98, b: 62, cost: 356 } ] 
Solutions for machine 146: [ { a: 16, b: 42, cost: 90 } ] 
Solutions for machine 147: [ { a: 93, b: 54, cost: 333 } ] 
Solutions for machine 149: [ { a: 47, b: 21, cost: 162 } ] 
Solutions for machine 150: [ { a: 72, b: 29, cost: 245 } ] 
Solutions for machine 153: [ { a: 95, b: 72, cost: 357 } ] 
Solutions for machine 154: [ { a: 21, b: 67, cost: 130 } ] 
Solutions for machine 155: [ { a: 70, b: 48, cost: 258 } ] 
Solutions for machine 156: [ { a: 77, b: 3, cost: 234 } ] 
Solutions for machine 158: [ { a: 88, b: 35, cost: 299 } ] 
Solutions for machine 159: [ { a: 34, b: 56, cost: 158 } ] 
Solutions for machine 161: [ { a: 42, b: 68, cost: 194 } ] 
Solutions for machine 162: [ { a: 95, b: 52, cost: 337 } ] 
Solutions for machine 164: [ { a: 23, b: 65, cost: 134 } ] 
Solutions for machine 165: [ { a: 20, b: 5, cost: 65 } ] 
Solutions for machine 167: [ { a: 6, b: 6, cost: 24 } ] 
Solutions for machine 170: [ { a: 81, b: 78, cost: 321 } ] 
Solutions for machine 171: [ { a: 23, b: 96, cost: 165 } ] 
Solutions for machine 172: [ { a: 75, b: 20, cost: 245 } ] 
Solutions for machine 174: [ { a: 67, b: 49, cost: 250 } ] 
Solutions for machine 175: [ { a: 29, b: 57, cost: 144 } ] 
Solutions for machine 176: [ { a: 69, b: 7, cost: 214 } ] 
Solutions for machine 177: [ { a: 51, b: 47, cost: 200 } ] 
Solutions for machine 179: [ { a: 75, b: 82, cost: 307 } ] 
Solutions for machine 181: [ { a: 70, b: 61, cost: 271 } ] 
Solutions for machine 182: [ { a: 29, b: 72, cost: 159 } ] 
Solutions for machine 184: [ { a: 10, b: 13, cost: 43 } ] 
Solutions for machine 187: [ { a: 43, b: 59, cost: 188 } ] 
Solutions for machine 188: [ { a: 65, b: 77, cost: 272 } ] 
Solutions for machine 189: [ { a: 29, b: 3, cost: 90 } ] 
Solutions for machine 190: [ { a: 86, b: 20, cost: 278 } ] 
Solutions for machine 194: [ { a: 54, b: 42, cost: 204 } ] 
Solutions for machine 195: [ { a: 84, b: 88, cost: 340 } ] 
Solutions for machine 196: [ { a: 77, b: 52, cost: 283 } ] 
Solutions for machine 200: [ { a: 21, b: 86, cost: 149 } ] 
Solutions for machine 202: [ { a: 79, b: 19, cost: 256 } ] 
Solutions for machine 205: [ { a: 62, b: 69, cost: 255 } ] 
Solutions for machine 207: [ { a: 46, b: 29, cost: 167 } ] 
Solutions for machine 209: [ { a: 60, b: 93, cost: 273 } ] 
Solutions for machine 211: [ { a: 93, b: 42, cost: 321 } ] 
Solutions for machine 215: [ { a: 11, b: 92, cost: 125 } ] 
Solutions for machine 217: [ { a: 37, b: 75, cost: 186 } ] 
Solutions for machine 218: [ { a: 6, b: 71, cost: 89 } ] 
Solutions for machine 219: [ { a: 58, b: 60, cost: 234 } ] 
Solutions for machine 220: [ { a: 41, b: 38, cost: 161 } ] 
Solutions for machine 222: [ { a: 75, b: 6, cost: 231 } ] 
Solutions for machine 223: [ { a: 95, b: 82, cost: 367 } ] 
Solutions for machine 226: [ { a: 17, b: 37, cost: 88 } ] 
Solutions for machine 228: [ { a: 97, b: 28, cost: 319 } ] 
Solutions for machine 230: [ { a: 6, b: 15, cost: 33 } ] 
Solutions for machine 234: [ { a: 70, b: 60, cost: 270 } ] 
Solutions for machine 236: [ { a: 60, b: 10, cost: 190 } ] 
Solutions for machine 237: [ { a: 85, b: 54, cost: 309 } ] 
Solutions for machine 239: [ { a: 46, b: 48, cost: 186 } ] 
Solutions for machine 241: [ { a: 89, b: 95, cost: 362 } ] 
Solutions for machine 242: [ { a: 20, b: 14, cost: 74 } ] 
Solutions for machine 245: [ { a: 88, b: 15, cost: 279 } ] 
Solutions for machine 247: [ { a: 96, b: 86, cost: 374 } ] 
Solutions for machine 248: [ { a: 85, b: 61, cost: 316 } ] 
Solutions for machine 249: [ { a: 13, b: 40, cost: 79 } ] 
Solutions for machine 250: [ { a: 68, b: 64, cost: 268 } ] 
Solutions for machine 251: [ { a: 56, b: 24, cost: 192 } ] 
Solutions for machine 252: [ { a: 98, b: 76, cost: 370 } ] 
Solutions for machine 258: [ { a: 4, b: 12, cost: 24 } ] 
Solutions for machine 259: [ { a: 50, b: 68, cost: 218 } ] 
Solutions for machine 260: [ { a: 8, b: 7, cost: 31 } ] 
Solutions for machine 263: [ { a: 68, b: 97, cost: 301 } ] 
Solutions for machine 265: [ { a: 12, b: 53, cost: 89 } ] 
Solutions for machine 268: [ { a: 59, b: 33, cost: 210 } ] 
Solutions for machine 274: [ { a: 62, b: 95, cost: 281 } ] 
Solutions for machine 275: [ { a: 87, b: 29, cost: 290 } ] 
Solutions for machine 276: [ { a: 80, b: 20, cost: 260 } ] 
Solutions for machine 277: [ { a: 26, b: 83, cost: 161 } ] 
Solutions for machine 278: [ { a: 35, b: 16, cost: 121 } ] 
Solutions for machine 279: [ { a: 94, b: 73, cost: 355 } ] 
Solutions for machine 282: [ { a: 55, b: 56, cost: 221 } ] 
Solutions for machine 284: [ { a: 30, b: 18, cost: 108 } ] 
Solutions for machine 285: [ { a: 63, b: 68, cost: 257 } ] 
Solutions for machine 287: [ { a: 77, b: 65, cost: 296 } ] 
Solutions for machine 288: [ { a: 36, b: 94, cost: 202 } ] 
Solutions for machine 291: [ { a: 29, b: 51, cost: 138 } ] 
Solutions for machine 292: [ { a: 45, b: 26, cost: 161 } ] 
Solutions for machine 293: [ { a: 78, b: 10, cost: 244 } ] 
Solutions for machine 296: [ { a: 81, b: 37, cost: 280 } ] 
Solutions for machine 297: [ { a: 25, b: 15, cost: 90 } ] 
Solutions for machine 301: [ { a: 53, b: 8, cost: 167 } ] 
Solutions for machine 302: [ { a: 65, b: 51, cost: 246 } ] 
Solutions for machine 303: [ { a: 84, b: 37, cost: 289 } ] 
Solutions for machine 304: [ { a: 12, b: 29, cost: 65 } ] 
Solutions for machine 306: [ { a: 99, b: 24, cost: 321 } ] 
Solutions for machine 308: [ { a: 35, b: 57, cost: 162 } ] 
Solutions for machine 309: [ { a: 40, b: 15, cost: 135 } ] 
Solutions for machine 310: [ { a: 45, b: 4, cost: 139 } ] 
Solutions for machine 313: [ { a: 76, b: 41, cost: 269 } ] 
Solutions for machine 315: [ { a: 30, b: 77, cost: 167 } ] 
Solutions for machine 318: [ { a: 37, b: 37, cost: 148 } ] 
Solutions for machine 319: [ { a: 87, b: 24, cost: 285 } ] 
